A                PRECIPITACION (MM)
A                CUENCA: SONDOR (Formato para extender datos)
A
B       1988            1            1       27           0           0            1           0           0           0
C
H1031989  17881  12450    7250    7200  1461      400    170        40    200    7521           0          60
H1031990    5791    4301    5749  11001  3300    2275    256        20         1  18020    5542    4621
H1031991    5493  10521    9530    3872  1731      710    100        91    780    2241    1861    8954
H1031992    4562    3325    4594    7483  4631    1171    122         1  2861    6823    6761    9332
H1031993    3292  14710  24120    5380  2820      750        50    150  4559    5740    3810  10320
H1031994    9330  13130  17220  13210  4100    2450    500    110  3940    1530    4530    6700
H1031995    3460    4910    8560    7900    270           0  1650    650    650    2620    8600  13940
H1031996  12380    9310    8170    7350  2490      520  2180    819    320    5470    2440    1800
H1031997    2630  10400    3840    4820    969      400    310         0    290    3300  11230    6830
H1031998    4990  14630  14900  16270  3560    1590    520         0  3550  13750    3010    2329
H1031999    9020  22190  19750    5710  9340    4150  1630         0  7619    2400    2760    9290
H1032000    3579  15610  29550    6430  7870    3469    540         0  4130      220           0    6709
H1032001    9570  11220  14350    5520  3120    3610  1530  2029  2370    3890  10030    2050
H1032002    6900  10500  10570  11990  3040      919  1480         0    730    7650    7550    3940
H1032003    2720    5380    7990    3970  4670    2770    540         0  2220      770    3340    2950
H1032004    1810    1350    4480    7009  3050      829  1170         0  1190    9090    6140    9530
H1032005    1060           0  31839    4520    780      680         0         0  1550    5090    2430    8960
H1032006    8320  19220  21420  11450    730    2850    640    190    670    2290  10040           0
H1032007    6150    4670  14250  10040  5410    2380    170  1190    250  12640    9540    3260
H1032008    5280  23070  17860  13740  2000    3440  3360    610    509  10650  15580           0
H1032009  17740    9520  18660    8810  2530      630        60    500  1860    4820    3160    5220
H1032010    4560  11570    8130    5900  2130    1170    760  1240  1960    3140    2450    5840
H1032011    3660    5020    5980  13260  1370    2610  1880    430  2990    2460    8350    8590
H1032012    8770  16210    7530    6780    790      530        70    380        40  10930    7600    3940
H1032013    5710    1400    5000      489  5980      610  3779    760    200    8290          20    2190
H1032014    2300    6130  12800    2080  8710      700    160        -1        -1          -1          -1          -1
H1041963          -1          -1          -1          -1          -1          -1          -1        -1          -1          -1    8530  21200
H1041964  10000    5159  15040  18230  11040    5100    4880  7570    6859  10470    3450           0
H1041965  20600  17210    9470  18310  20650  18700    9840  2180  13430    5230  13929    9819
H1041966    8820    2920  13550  12730  11700    2481    2290  1120    5190    5710  13910    4182
H1041967  23752  14432    8800    9532    7252    4262    5606  1664    4853  19540    1655  12383
H1041968    6890    7761  12770    7250    2831    3202    2911  3213    9071  10150    5381    1844
H1041969  13643  14441    5523  16781    5521    5421    1022  3181    4060    4081    8742  21251
H1041970  15243  13001  14681  14380  12990    6483    3721  1061    5921  11241    9661  11680
H1041971  13911  16604  24660  17460  19600    8882    3474    472    2603  15653    9956  10743
H1041972  29100  14519    8990  38080    8880    7640    5600  2790    6950      600  22150  11340
H1041973  17300  10150    9400  18510  12720    5030  12330  7990    4300    4920    7500  10000
H1041974  11550    7830    6300    4750    2940  11490    4720  7109    4880  10540  12530  10250
H1041975  10480  20490  18110  13800  13619    9420    5490  4380    2850  15660    6959      420
H1041976  14930  13240  12560  12470  10770  12510    3800  6210    5730    6880    5100    8050
H1041977  12300  12480  15040  18360    4550  10570    3640  5350    6990  10210    5740    4360
H1041978    2210    9080  14300  16660  10580    7180    6150  2340    2750    3120    2960    8290
H1041979    4630    3110  21839  17660    5570    3469    2240  6950    7159    2920    2830    3110
H1041980    5370  13319  19900    9470    7109    4460    4010  2520      630  18660  11230  11110
H1041981    8470  15510  10630    2310  12960    6310    3900  3400    1480    9580    2930  12850
H1041982  11469    9060  12360  23780  14360    2720    2500  1330    5900    6850    2500    5490
H1041983           0  10720  18030    9730    8450           0           0         0           0           0           0           0
H1041984    7840           0           0           0           0           0           0         0           0           0           0           0
H1041985           0           0           0           0           0           0           0         0           0           0           0           0
H1041986           0           0           0           0           0           0           0         0           0           0           0           0
H1041987           0           0           0           0           0           0           0         0           0           0           0           0
H1041988           0           0    6880  11870    7659           0           0         0           0           0           0           0
H1041989           0           0           0           0           0           0           0         0           0           0           0           0
H1041990           0           0           0           0           0           0           0         0           0           0           0           0
H1041991  24950    5440    9880    9660    7780    1500    2840  3460    3360    1040    6770  10540
H1041992    5750  12300    9930  19980    4920    3180    2490  2770    4670  12919  10960    8300
